Nom usuel de l'installation,Numéro de l'installation,Nom de la commune,Code INSEE,Code postal,Nom du lieu dit,Numero de la voie,Nom de la voie,location,Longitude,Latitude,Aucun aménagement d'accessibilité,Accessibilité handicapés à mobilité réduite,Accessibilité handicapés sensoriels,Emprise foncière en m2,Gardiennée avec ou sans logement de gardien,Multi commune,Présence d'un internet,Nombre de couvert ,Nombre de lit,Nombre total de place de parking,Nombre total de place de parking handicapés,Installation particulière,Desserte métro,Desserte bus,Desserte Tram,Desserte train,Desserte bateau,Desserte autre,Nombre total d'équipements sportifs,Nombre total de fiches équipements,Date de création de la fiche installation,Date de mise à jour de la fiche installation
Gymnase St Joseph,440360021,Châteaubriant,44036,44110,,22,Rue De La Libération,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Non,Oui,Non,,Non,Non,Non,0,0,22,0, Non,Non,Oui,Non,Non,Non,Non,1,1,2005-10-19 00:00:00.000,2012-06-27 00:00:00.000
Groupe Scolaire St Joseph Nazareth,440360023,Châteaubriant,44036,44110,,9,Rue De La Libération,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Non,Oui,Non,,Avec logement de gardien,Non,Non,1000,0,0,0,Etablissement scolaire,Non,Oui,Non,Non,Non,Non,5,2,2005-10-19 00:00:00.000,2012-06-27 00:00:00.000
Circuits De Randonnees,440360024,Châteaubriant,44036,44110,,,,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Oui,Non,Non,,Non,Oui,Non,0,0,0,0, Non,Non,Oui,Non,Oui,Non,Non,3,3,2005-11-17 00:00:00.000,2016-12-22 00:00:00.000
Lycee Polyvalent Guy Moquet - Etienne Lenoir,440360025,Châteaubriant,44036,44110,,9,Rue De L'Europe,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Non,Oui,Non,,Avec logement de gardien,Non,Oui,450,315,0,0,Etablissement scolaire,Non,Oui,Non,Non,Non,Non,2,2,2005-10-24 00:00:00.000,2012-06-06 00:00:00.000
Annexe Du College Saint Joseph,440360027,Châteaubriant,44036,44110,,20,Bd Victor Hugo,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Oui,Non,Non,,Non,Non,Non,0,0,0,0, Non,Non,Oui,Non,Non,Non,Non,3,2,2007-03-23 00:00:00.000,2012-06-27 00:00:00.000
Guy Mocquet,440360029,Châteaubriant,44036,44110,,,Rue Des Déportés Résistants,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Non,Oui,Non,1500,Non,Non,Non,0,0,50,2, Non,Non,Oui,Non,Non,Non,Non,2,2,2008-02-01 00:00:00.000,2016-12-22 00:00:00.000
Etang Du Chene Au Borgne,440360030,Châteaubriant,44036,44110,Le Chêne Au Borgne,,D 178,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Oui,Non,Non,,Non,Non,Non,0,0,0,0, Non,Non,Oui,Non,Non,Non,Non,1,1,2008-04-21 00:00:00.000,2016-12-22 00:00:00.000
Halle De Tennis Maurice Deniaud,440360033,Châteaubriant,44036,44110,,24,Route Des Fougerays,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Non,Oui,Non,,Non,Non,Non,0,0,25,2, Non,Non,Oui,Non,Non,Non,Non,5,3,2009-05-15 00:00:00.000,2016-12-22 00:00:00.000
Centre Equestre De Bere,440360034,Châteaubriant,44036,44110,,,Route De Bain De Bretagne Rd 772,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Non,Oui,Non,,Non,Non,Non,0,0,10,2, Non,Non,Oui,Non,Non,Non,Non,3,3,2010-06-24 00:00:00.000,2016-12-23 00:00:00.000
Boulodrome De Chateaubriant,440360035,Châteaubriant,44036,44110,,,Rue Amand Franco,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Non,Oui,Non,,Non,Non,Non,0,0,0,0, Non,Non,Oui,Non,Non,Non,Non,2,2,2010-09-07 00:00:00.000,2016-12-08 00:00:00.000
Quartier De La Ville Aux Roses,440360036,Châteaubriant,44036,44110,,,Place Gabriel Fauré,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Non,Oui,Non,,Non,Non,Non,0,0,0,0, Non,Non,Oui,Non,Non,Non,Non,2,2,2012-06-13 00:00:00.000,2016-12-22 00:00:00.000
Lotissement De Deil,440360037,Châteaubriant,44036,44110,,,Rue Charles Perrault,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Non,Oui,Non,,Non,Non,Non,0,0,0,0, Non,Non,Non,Non,Non,Non,Non,2,2,2012-06-13 00:00:00.000,2016-12-22 00:00:00.000
Parc De Renac,440360038,Châteaubriant,44036,44110,,,Rue André Maurois,"[ 47.716743 , -1.376516]",-1.376516,47.716743,Oui,Non,Non,,Non,Non,Non,0,0,0,0, Non,Non,Non,Non,Non,Non,Non,2,2,2012-06-13 00:00:00.000,2016-12-22 00:00:00.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,
